customer_state,avg_delivery_time,avg_order_value
RR,27.826086956521742,153.42
AP,27.753086419753089,165.12
AM,25.963190184049072,135.93
AL,23.992974238875881,184.67
PA,23.301707779886137,165.53
MA,21.203749999999989,146.26
SE,20.97866666666668,150.86
CE,20.537166900420761,154.11
AC,20.329670329670328,175.07
PB,20.11945392491468,192.13
RO,19.282051282051295,167.34
PI,18.931166347992349,161.99
RN,18.873320537428004,157.59
BA,18.774640238935667,134.02
PE,17.792096219931281,144.27
MT,17.50819672131151,146.76
TO,17.003225806451614,156.14
ES,15.192808988764043,120.74
MS,15.107274969173856,142.33
GO,14.94817742643831,124.21
RS,14.708299364095824,118.83
RJ,14.688821325037136,124.42
SC,14.517207712960687,123.75
DF,12.501486199575387,125.9
MG,11.514091049860669,120.2
PR,11.480793060718726,117.91
SP,8.2596627979586259,109.1
